교과목명(미확정구분),교과목번호,분반,교수명,시간/강의실,수강대상학과,개설학과,교양평점
우리지역의문화유산과트래킹,ZF1100801,001,김혜리,금 14:00-17:00 405-2104,,사학과<br/>(051-510-1513),5
생활습관병과운동,ZF1200089,001,김도연,"월 13:30(75) 705-301,<br/> 수 13:30(75) 705-301",,체육교육과<br/>(051-510-1627),4.39
생활습관병과운동,ZF1200089,002,한기훈,"화 13:30(75) 705-301,<br/> 목 13:30(75) 705-301",,체육교육과<br/>(051-510-1627),4.69
생활습관병과운동,ZF1200089,003,김대경,"월 09:00(75) 417-306,<br/> 수 09:00(75) 417-306",,체육교육과<br/>(051-510-1627),4.08
생활습관병과운동,ZF1200089,004,고수한,"월 15:00(75) 701-105,<br/> 수 15:00(75) 701-105",,체육교육과<br/>(051-510-1627),4.89
생활습관병과운동,ZF1200089,200,고수한,"화 10:30(75) 밀양M02-2314,<br/> 목 10:30(75) 밀양M02-2314",,체육교육과<br/>(051-510-1627),4.89
현대사회와스포츠,ZF1200467,001,이근모,"월 10:30(75) 705-202,<br/> 수 10:30(75) 705-202",,체육교육과<br/>(051-510-1627),4.62
현대사회와스포츠,ZF1200467,002,조송현,금 13:00-16:00 705-202,,체육교육과<br/>(051-510-1627),4.43
현대사회와스포츠,ZF1200467,003,권세창,"월 15:00(75) 705-202,<br/> 수 15:00(75) 705-202",,체육교육과<br/>(051-510-1627),4.93
현대사회와스포츠,ZF1200467,004,윤정희,금 16:00-19:00 705-202,,체육교육과<br/>(051-510-1627),4.86
현대사회와스포츠,ZF1200467,005,윤거일,"화 13:30(75) 701-105,<br/> 목 13:30(75) 701-105",,체육교육과<br/>(051-510-1627),4.33
현대사회와스포츠,ZF1200467,006,김남규,"화 09:00(75) 701-105,<br/> 목 09:00(75) 701-105",,체육교육과<br/>(051-510-1627),5
현대사회와스포츠,ZF1200467,200,곽주영,"월 13:30(75) 밀양M02-2314,<br/> 수 13:30(75) 밀양M02-2314",,체육교육과<br/>(051-510-1627),4.67
현대생활과레크레이션,ZF1200468,001,이현수,"월 13:30(75) 705-202,<br/> 수 13:30(75) 705-202",,체육교육과<br/>(051-510-1627),4.5
현대생활과레크레이션,ZF1200468,002,강민서,"화 13:30(75) 705-202,<br/> 목 13:30(75) 705-202",,체육교육과<br/>(051-510-1627),4.76
현대생활과레크레이션,ZF1200468,003,박진우,"월 09:00(75) 701-202,<br/> 수 09:00(75) 701-202",,체육교육과<br/>(051-510-1627),4.9
현대생활과레크레이션,ZF1200468,200,박진우,"화 09:00(75) 밀양M02-2212,<br/> 목 09:00(75) 밀양M02-2212",,체육교육과<br/>(051-510-1627),4.9
현대생활과레크레이션,ZF1200468,300,강민서,수 14:00-17:00 양산Y15-311,,체육교육과<br/>(051-510-1627),4.76
주택과실내디자인,ZF1200332,001,김동식 외 1명,"화 13:30(75) 602-202,<br/> 목 13:30(75) 602-202",,실내환경디자인학과<br/>(+82|051-510-1711),5
현대인의체력관리,ZF1200444,001,박정준,"화 15:00(75) 705-202,<br/> 목 15:00(75) 705-202",,스포츠과학과<br/>(+82|051-510-3745),4.29
현대인의체력관리,ZF1200444,002,류승호,"화 09:00(75) 705-202,<br/> 목 09:00(75) 705-202",,스포츠과학과<br/>(+82|051-510-3745),4.9
현대인의체력관리,ZF1200444,005,조은아,"화 10:30(75) 701-105,<br/> 목 10:30(75) 701-105",,스포츠과학과<br/>(+82|051-510-3745),4.9
현대인의체력관리,ZF1200444,007,김미옥,금 10:00-13:00 705-202,,스포츠과학과<br/>(+82|051-510-3745),4.21
현대인의체력관리,ZF1200444,008,김채빈,"화 16:30(75) 705-202,<br/> 목 16:30(75) 705-202",,스포츠과학과<br/>(+82|051-510-3745),5
현대인의체력관리,ZF1200444,009,김성아,"화 10:30(75) 705-202,<br/> 목 10:30(75) 705-202",,스포츠과학과<br/>(+82|051-510-3745),등록된 강의평 없음
마음건강체크인,ZF1101161,001,심효진,"화 10:30(75) 416-B105,<br/> 목 10:30(75) 416-B105",,교양교육원<br/>(051-510-3844~6),4.19
피지컬리터러시와건강운동법,ZF1101162,001,김대경,"월 10:30(100) 201-6207,<br/> 수 10:30(100) 201-6207",,교양교육원<br/>(051-510-3844~6),4.77
스포츠와문화콘텐츠,ZF1101163,001,윤거일,"화 15:30(75) 514-105,<br/> 목 15:30(75) 514-105",,교양교육원<br/>(051-510-3844~6),4.33
