교과목명(미확정구분),교과목번호,분반,교수명,시간/강의실,수강대상학과,개설학과,교양평점
글로벌중국어1,ZF1100989,001,이화진,"화 12:00(75) 306-310,<br/> 목 12:00(75) 306-310",,중어중문학과<br/>(051-510-1508),4.5
글로벌중국어1,ZF1100989,002,황지경,"월 10:30(75) 405-2103,<br/> 수 10:30(75) 405-2103",,중어중문학과<br/>(051-510-1508),4.62
글로벌중국어1,ZF1100989,003,유철,"화 13:30(75) 306-310,<br/> 목 13:30(75) 306-310",,중어중문학과<br/>(051-510-1508),4.83
글로벌중국어1,ZF1100989,004,유미경,"월 12:00(75) 306-203,<br/> 수 12:00(75) 306-203",,중어중문학과<br/>(051-510-1508),4.23
글로벌중국어1,ZF1100989,005,송주란,"화 15:00(75) 306-310,<br/> 목 15:00(75) 306-310",,중어중문학과<br/>(051-510-1508),4.24
글로벌중국어1,ZF1100989,006,김현희,"월 13:30(75) 306-205,<br/> 수 13:30(75) 306-205",,중어중문학과<br/>(051-510-1508),3.98
글로벌중국어1,ZF1100989,008,김소정,"월 15:00(75) 306-216,<br/> 수 15:00(75) 306-216",,중어중문학과<br/>(051-510-1508),4.51
글로벌중국어1,ZF1100989,200,이창민,금 10:00-13:00 밀양M03-3453,,중어중문학과<br/>(051-510-1508),3.8
글로벌중국어2,ZF1100990,001,안승웅,"월 12:00(75) 306-205,<br/> 수 12:00(75) 306-205",,중어중문학과<br/>(051-510-1508),5
일어(I),ZF1100236,001,김수진,"월 12:00(75) 306-201,<br/> 수 12:00(75) 306-201",,일어일문학과<br/>(051-510-1509),4.54
일어(I),ZF1100236,002,이지현,"월 12:00(75) 306-501,<br/> 수 12:00(75) 306-501",,일어일문학과<br/>(051-510-1509),3.99
일어(I),ZF1100236,003,오자키치에리,"월 12:00(75) 306-312,<br/> 수 12:00(75) 306-312",,일어일문학과<br/>(051-510-1509),4.64
일어(I),ZF1100236,004,한경아,"월 13:30(75) 405-2104,<br/> 수 13:30(75) 405-2104",,일어일문학과<br/>(051-510-1509),4.43
일어(I),ZF1100236,005,이종은,"화 12:00(75) 306-211,<br/> 목 12:00(75) 306-211",,일어일문학과<br/>(051-510-1509),4.92
일어(I),ZF1100236,006,나승회,"화 12:00(75) 306-213,<br/> 목 12:00(75) 306-213",,일어일문학과<br/>(051-510-1509),3.86
일어(I),ZF1100236,007,안수현,"화 12:00(75) 306-312,<br/> 목 12:00(75) 306-312",,일어일문학과<br/>(051-510-1509),4.38
일어(I),ZF1100236,008,서순현,"화 13:30(75) 306-409,<br/> 목 13:30(75) 306-409",,일어일문학과<br/>(051-510-1509),4.46
일어(I),ZF1100236,009,조수현,"화 15:00(75) 306-213,<br/> 목 15:00(75) 306-213",,일어일문학과<br/>(051-510-1509),4.36
일어(I),ZF1100236,010,한채민,"화 15:00(75) 306-312,<br/> 목 15:00(75) 306-312",,일어일문학과<br/>(051-510-1509),5
일어(I),ZF1100236,300,한채민,금 13:00-16:00 양산Y15-411,,일어일문학과<br/>(051-510-1509),5
일어(II),ZF1100240,001,한경아,"월 10:30(75) 306-312,<br/> 수 10:30(75) 306-312",,일어일문학과<br/>(051-510-1509),4.15
일어(II),ZF1100240,002,박미현,"화 13:30(75) 306-213,<br/> 목 13:30(75) 306-213",,일어일문학과<br/>(051-510-1509),4.5
일어(II),ZF1100240,200,이종은,금 10:00-13:00 밀양M02-2111,,일어일문학과<br/>(051-510-1509),4.5
프랑스어(I),ZF1100817,001,강영주,"월 13:30(75) 306-409,<br/> 수 13:30(75) 306-409",,불어불문학과<br/>(051-510-1511),4.58
프랑스어(I),ZF1100817,002,강영주,금 10:00-13:00 306-407,,불어불문학과<br/>(051-510-1511),4.58
프랑스어(I),ZF1100817,003,김경자,금 10:00-13:00 306-309,,불어불문학과<br/>(051-510-1511),3.82
프랑스어(I),ZF1100817,004,김경자,금 14:00-17:00 306-309,,불어불문학과<br/>(051-510-1511),3.82
프랑스어(I),ZF1100817,005,김경자 외 1명,"화 12:00(75) 306-203,<br/> 목 12:00(75) 306-203",,불어불문학과<br/>(051-510-1511),4.5
프랑스어(I),ZF1100817,006,김경자 외 1명,"화 13:30(75) 306-203,<br/> 목 13:30(75) 306-203",,불어불문학과<br/>(051-510-1511),4.5
프랑스어(I),ZF1100817,007,박은미 외 1명,"월 13:30(75) 306-407,<br/> 수 13:30(75) 306-407",,불어불문학과<br/>(051-510-1511),5
프랑스어(I),ZF1100817,008,박은미 외 1명,"월 15:00(75) 306-407,<br/> 수 15:00(75) 306-407",,불어불문학과<br/>(051-510-1511),5
프랑스어(I),ZF1100817,009,김미진,"월 10:30(75) 306-407,<br/> 수 10:30(75) 306-407",,불어불문학과<br/>(051-510-1511),4.32
프랑스어(I),ZF1100817,010,김영주,"화 13:30(75) 306-407,<br/> 목 13:30(75) 306-407",,불어불문학과<br/>(051-510-1511),4.54
프랑스어(I),ZF1100817,011,장정아,"월 10:30(75) 306-206,<br/> 수 10:30(75) 306-206",,불어불문학과<br/>(051-510-1511),3.83
프랑스어(I),ZF1100817,012,장정아,"월 15:00(75) 306-203,<br/> 수 15:00(75) 306-203",,불어불문학과<br/>(051-510-1511),3.83
프랑스어(I),ZF1100817,013,조국형,"월 12:00(75) 306-309,<br/> 수 12:00(75) 306-309",,불어불문학과<br/>(051-510-1511),4.5
프랑스어(I),ZF1100817,014,조국형,"월 13:30(75) 306-309,<br/> 수 13:30(75) 306-309",,불어불문학과<br/>(051-510-1511),4.5
프랑스어(I),ZF1100817,015,조국형,화 13:00-16:00 양산Y15-311,,불어불문학과<br/>(051-510-1511),4.5
프랑스어(II),ZF1100818,001,강민수,"화 09:00(75) 306-411,<br/> 목 09:00(75) 306-411",,불어불문학과<br/>(051-510-1511),4.8
독일어(I),ZF1100536,001,김종수,"월 15:00(75) 306-211,<br/> 수 15:00(75) 306-211",,독어독문학과<br/>(051-510-1512),3.5
독일어(I),ZF1100536,002,이경필,"화 09:00(75) 306-311,<br/> 목 09:00(75) 306-311",,독어독문학과<br/>(051-510-1512),4.33
독일어(I),ZF1100536,003,티야나 푼크,"월 15:00(75) 306-311,<br/> 수 15:00(75) 306-311",,독어독문학과<br/>(051-510-1512),등록된 평가 없음
독일어(I),ZF1100536,004,알레나 갈비츠,"화 09:00(75) 306-211,<br/> 목 09:00(75) 306-211",,독어독문학과<br/>(051-510-1512),4
